Energy_au,CrossSection_au,CrossSection_Mb
1.000000e-03,6.798460e-03,1.903759e-01
4.020202e-03,7.963251e-03,2.229933e-01
7.040404e-03,7.848518e-03,2.197805e-01
1.006061e-02,1.033848e-03,2.895063e-02
1.308081e-02,8.594298e-04,2.406644e-02
1.610101e-02,6.985283e-04,1.956075e-02
1.912121e-02,5.573919e-04,1.560853e-02
2.214141e-02,4.406727e-04,1.234007e-02
2.516162e-02,3.522599e-04,9.864264e-03
2.818182e-02,2.955306e-04,8.275685e-03
3.120202e-02,2.735262e-04,7.659499e-03
3.422222e-02,2.889947e-04,8.092661e-03
3.724242e-02,3.444484e-04,9.645518e-03
4.026263e-02,4.422070e-04,1.238303e-02
4.328283e-02,5.843688e-04,1.636396e-02
4.630303e-02,7.729128e-04,2.164372e-02
4.932323e-02,1.009533e-03,2.826976e-02
5.234343e-02,1.295835e-03,3.628700e-02
5.536364e-02,1.633136e-03,4.573239e-02
5.838384e-02,2.022610e-03,5.663875e-02
6.140404e-02,2.465004e-03,6.902701e-02
6.442424e-02,2.961021e-03,8.291689e-02
6.744444e-02,3.510893e-03,9.831483e-02
7.046465e-02,4.114777e-03,1.152253e-01
7.348485e-02,4.772007e-03,1.336296e-01
7.650505e-02,5.482112e-03,1.535145e-01
7.952525e-02,6.244437e-03,1.748617e-01
8.254545e-02,7.056062e-03,1.975895e-01
8.556566e-02,7.916372e-03,2.216806e-01
8.858586e-02,8.822791e-03,2.470628e-01
9.160606e-02,9.772609e-03,2.736604e-01
9.462626e-02,1.076275e-02,3.013870e-01
9.764646e-02,1.178956e-02,3.301407e-01
1.006667e-01,1.498621e-02,4.196559e-01
1.036869e-01,1.611175e-02,4.511741e-01
1.067071e-01,1.725765e-02,4.832624e-01
1.097273e-01,1.842040e-02,5.158229e-01
1.127475e-01,1.959468e-02,5.487059e-01
1.157677e-01,2.077594e-02,5.817845e-01
1.187879e-01,2.195942e-02,6.149253e-01
1.218081e-01,2.314064e-02,6.480028e-01
1.248283e-01,2.431426e-02,6.808673e-01
1.278485e-01,2.547694e-02,7.134255e-01
1.308687e-01,2.662351e-02,7.455329e-01
1.338889e-01,2.774909e-02,7.770523e-01
1.369091e-01,2.885144e-02,8.079212e-01
1.399293e-01,2.992613e-02,8.380154e-01
1.429495e-01,3.096995e-02,8.672454e-01
1.459697e-01,3.197896e-02,8.955003e-01
1.489899e-01,3.295163e-02,9.227378e-01
1.520101e-01,3.388613e-02,9.489066e-01
1.550303e-01,3.477691e-02,9.738507e-01
1.580505e-01,3.562590e-02,9.976249e-01
1.610707e-01,3.643144e-02,1.020182e+00
1.640909e-01,3.718947e-02,1.041409e+00
1.671111e-01,3.790439e-02,1.061429e+00
1.701313e-01,3.856780e-02,1.080006e+00
1.731515e-01,3.918729e-02,1.097354e+00
1.761717e-01,3.976032e-02,1.113400e+00
1.791919e-01,4.028526e-02,1.128100e+00
1.822121e-01,4.076366e-02,1.141497e+00
1.852323e-01,4.119555e-02,1.153591e+00
1.882525e-01,4.158175e-02,1.164406e+00
1.912727e-01,4.192375e-02,1.173982e+00
1.942929e-01,4.222200e-02,1.182334e+00
1.973131e-01,4.247842e-02,1.189515e+00
2.003333e-01,4.269210e-02,1.195498e+00
2.033535e-01,4.286278e-02,1.200278e+00
2.063737e-01,4.299623e-02,1.204015e+00
2.093939e-01,4.309089e-02,1.206666e+00
2.124141e-01,4.314751e-02,1.208251e+00
2.154343e-01,4.316837e-02,1.208835e+00
2.184545e-01,4.315304e-02,1.208406e+00
2.214747e-01,4.310559e-02,1.207077e+00
2.244949e-01,4.302497e-02,1.204820e+00
2.275152e-01,4.291299e-02,1.201684e+00
2.305354e-01,4.277174e-02,1.197729e+00
2.335556e-01,4.260069e-02,1.192939e+00
2.365758e-01,4.240248e-02,1.187388e+00
2.395960e-01,4.217775e-02,1.181095e+00
2.426162e-01,4.192870e-02,1.174121e+00
2.456364e-01,4.165459e-02,1.166445e+00
2.486566e-01,4.135803e-02,1.158141e+00
2.516768e-01,4.104054e-02,1.149250e+00
2.546970e-01,4.070358e-02,1.139814e+00
2.577172e-01,4.034310e-02,1.129720e+00
2.607374e-01,3.996630e-02,1.119168e+00
2.637576e-01,3.957229e-02,1.108135e+00
2.667778e-01,3.916368e-02,1.096693e+00
2.697980e-01,3.873615e-02,1.084721e+00
2.728182e-01,3.829613e-02,1.072399e+00
2.758384e-01,3.784467e-02,1.059757e+00
2.788586e-01,3.737826e-02,1.046696e+00
2.818788e-01,3.690238e-02,1.033370e+00
2.848990e-01,3.641461e-02,1.019711e+00
2.879192e-01,3.591806e-02,1.005806e+00
2.909394e-01,3.541387e-02,9.916876e-01
2.939596e-01,3.490070e-02,9.773174e-01
2.969798e-01,3.438173e-02,9.627846e-01
3.000000e-01,3.385640e-02,9.480740e-01
3.100000e-01,3.208442e-02,8.984535e-01
3.270707e-01,2.900423e-02,8.121996e-01
3.441414e-01,2.594920e-02,7.266504e-01
3.612121e-01,2.300799e-02,6.442882e-01
3.782828e-01,2.024077e-02,5.667981e-01
3.953535e-01,1.768602e-02,4.952581e-01
4.124242e-01,1.536218e-02,4.301840e-01
4.294949e-01,1.327418e-02,3.717143e-01
4.465657e-01,1.141568e-02,3.196711e-01
4.636364e-01,9.774695e-03,2.737188e-01
4.807071e-01,8.335053e-03,2.334048e-01
4.977778e-01,7.078459e-03,1.982167e-01
5.148485e-01,5.987143e-03,1.676568e-01
5.319192e-01,5.043566e-03,1.412340e-01
5.489899e-01,4.231376e-03,1.184904e-01
5.660606e-01,3.535301e-03,9.899834e-02
5.831313e-01,2.942115e-03,8.238747e-02
6.002020e-01,2.439621e-03,6.831622e-02
6.172727e-01,2.015925e-03,5.645154e-02
6.343434e-01,1.661876e-03,4.653717e-02
6.514141e-01,1.367933e-03,3.830595e-02
6.684848e-01,1.125953e-03,3.152982e-02
6.855556e-01,9.281983e-04,2.599215e-02
7.026263e-01,7.679669e-04,2.150522e-02
7.196970e-01,6.390521e-04,1.789525e-02
7.367677e-01,5.360225e-04,1.501013e-02
7.538384e-01,4.541304e-04,1.271692e-02
7.709091e-01,3.892656e-04,1.090053e-02
7.879798e-01,3.380046e-04,9.465075e-03
8.050505e-01,2.974762e-04,8.330166e-03
8.221212e-01,2.653728e-04,7.431182e-03
8.391919e-01,2.397686e-04,6.714191e-03
8.562626e-01,2.192511e-04,6.139644e-03
8.733333e-01,2.026390e-04,5.674459e-03
8.904040e-01,1.890609e-04,5.294235e-03
9.074747e-01,1.778441e-04,4.980133e-03
