SIMULATION SUMMARY LOG
Species: Ar
Cage Depth: 0.5600 a.u.
================================================================================
Mu       | E_bound      | NormErr    | Thresh       | Peak        
--------------------------------------------------------------------------------
0.000    | -0.60160     | 3.2e-06    | 4.114e-01    | 4.362e-01   
0.010    | -0.57731     | 3.0e-06    | 3.353e-01    | 4.029e-01   
0.020    | -0.55412     | 2.8e-06    | 2.522e-01    | 3.660e-01   
0.050    | -0.49444     | 1.7e-06    | 7.382e-02    | 2.189e-01   
0.100    | -0.43950     | 2.5e-07    | 6.798e-03    | 4.317e-02   
0.200    | -0.39219     | 2.0e-08    | 7.255e-03    | 2.186e-02   
0.300    | -0.36924     | 5.1e-09    | 2.341e-02    | 5.181e-02   
0.400    | -0.35724     | 2.1e-09    | 3.595e-01    | 3.595e-01   
0.500    | -0.35082     | 1.1e-09    | 3.497e-03    | 1.171e+00   
