SIMULATION SUMMARY LOG
Species: H
Cage Depth: 0.3000 a.u.
================================================================================
Mu       | E_bound      | NormErr    | Thresh       | Peak        
--------------------------------------------------------------------------------
0.000    | -0.50820     | 1.4e-05    | 1.969e-01    | 1.969e-01   
0.010    | -0.49828     | 1.4e-05    | 1.987e-01    | 1.987e-01   
0.020    | -0.48852     | 1.4e-05    | 1.991e-01    | 1.992e-01   
0.050    | -0.46016     | 1.4e-05    | 1.874e-01    | 1.997e-01   
0.100    | -0.41579     | 1.4e-05    | 3.104e-01    | 3.104e-01   
0.200    | -0.33722     | 1.3e-05    | 9.713e-02    | 2.809e-01   
0.300    | -0.27182     | 1.2e-05    | 2.391e-02    | 5.299e-01   
0.400    | -0.22180     | 8.0e-06    | 1.455e-03    | 1.204e-01   
0.500    | -0.19264     | 3.3e-06    | 5.210e-04    | 5.304e-02   
