Energy_au,CrossSection_au,CrossSection_Mb
1.000000e-03,7.813452e-05,2.187985e-03
4.020202e-03,3.763333e-04,1.053839e-02
7.040404e-03,6.187985e-04,1.732809e-02
1.006061e-02,7.390559e-04,2.069563e-02
1.308081e-02,9.150247e-04,2.562325e-02
1.610101e-02,1.084960e-03,3.038193e-02
1.912121e-02,1.252329e-03,3.506872e-02
2.214141e-02,1.419027e-03,3.973672e-02
2.516162e-02,1.586260e-03,4.441972e-02
2.818182e-02,1.754435e-03,4.912908e-02
3.120202e-02,1.924066e-03,5.387923e-02
3.422222e-02,2.095263e-03,5.867322e-02
3.724242e-02,2.267965e-03,6.350938e-02
4.026263e-02,2.442268e-03,6.839035e-02
4.328283e-02,2.617930e-03,7.330938e-02
4.630303e-02,2.794872e-03,7.826424e-02
4.932323e-02,2.972887e-03,8.324916e-02
5.234343e-02,3.151524e-03,8.825148e-02
5.536364e-02,3.330803e-03,9.327180e-02
5.838384e-02,3.510015e-03,9.829024e-02
6.140404e-02,3.689075e-03,1.033044e-01
6.442424e-02,3.867560e-03,1.083025e-01
6.744444e-02,4.044932e-03,1.132694e-01
7.046465e-02,4.220822e-03,1.181948e-01
7.348485e-02,4.394842e-03,1.230679e-01
7.650505e-02,4.566132e-03,1.278645e-01
7.952525e-02,4.734548e-03,1.325806e-01
8.254545e-02,4.899416e-03,1.371974e-01
8.556566e-02,5.060343e-03,1.417038e-01
8.858586e-02,5.216260e-03,1.460699e-01
9.160606e-02,5.367102e-03,1.502939e-01
9.462626e-02,5.512237e-03,1.543581e-01
9.764646e-02,5.650850e-03,1.582396e-01
1.006667e-01,5.934097e-03,1.661713e-01
1.036869e-01,6.060627e-03,1.697145e-01
1.067071e-01,6.179016e-03,1.730297e-01
1.097273e-01,6.288787e-03,1.761036e-01
1.127475e-01,6.389504e-03,1.789240e-01
1.157677e-01,6.480579e-03,1.814744e-01
1.187879e-01,6.561679e-03,1.837454e-01
1.218081e-01,6.632553e-03,1.857301e-01
1.248283e-01,6.692940e-03,1.874211e-01
1.278485e-01,6.742672e-03,1.888137e-01
1.308687e-01,6.781291e-03,1.898951e-01
1.338889e-01,6.809007e-03,1.906713e-01
1.369091e-01,6.825830e-03,1.911424e-01
1.399293e-01,6.831724e-03,1.913074e-01
1.429495e-01,6.826770e-03,1.911687e-01
1.459697e-01,6.811079e-03,1.907293e-01
1.489899e-01,6.785146e-03,1.900031e-01
1.520101e-01,6.749168e-03,1.889956e-01
1.550303e-01,6.703109e-03,1.877058e-01
1.580505e-01,6.647756e-03,1.861558e-01
1.610707e-01,6.583558e-03,1.843581e-01
1.640909e-01,6.510912e-03,1.823238e-01
1.671111e-01,6.430212e-03,1.800639e-01
1.701313e-01,6.342110e-03,1.775968e-01
1.731515e-01,6.247151e-03,1.749377e-01
1.761717e-01,6.145761e-03,1.720985e-01
1.791919e-01,6.038706e-03,1.691007e-01
1.822121e-01,5.926352e-03,1.659544e-01
1.852323e-01,5.809402e-03,1.626795e-01
1.882525e-01,5.688295e-03,1.592882e-01
1.912727e-01,5.563704e-03,1.557993e-01
1.942929e-01,5.436002e-03,1.522233e-01
1.973131e-01,5.305943e-03,1.485813e-01
2.003333e-01,5.173508e-03,1.448727e-01
2.033535e-01,5.039741e-03,1.411269e-01
2.063737e-01,4.904779e-03,1.373476e-01
2.093939e-01,4.769119e-03,1.335487e-01
2.124141e-01,4.633051e-03,1.297384e-01
2.154343e-01,4.497042e-03,1.259298e-01
2.184545e-01,4.361414e-03,1.221318e-01
2.214747e-01,4.226391e-03,1.183508e-01
2.244949e-01,4.092318e-03,1.145964e-01
2.275152e-01,3.959460e-03,1.108760e-01
2.305354e-01,3.827963e-03,1.071937e-01
2.335556e-01,3.698071e-03,1.035563e-01
2.365758e-01,3.570075e-03,9.997210e-02
2.395960e-01,3.443967e-03,9.644072e-02
2.426162e-01,3.320019e-03,9.296983e-02
2.456364e-01,3.198329e-03,8.956216e-02
2.486566e-01,3.078923e-03,8.621847e-02
2.516768e-01,2.961994e-03,8.294414e-02
2.546970e-01,2.847467e-03,7.973704e-02
2.577172e-01,2.735591e-03,7.660421e-02
2.607374e-01,2.626323e-03,7.354440e-02
2.637576e-01,2.519692e-03,7.055842e-02
2.667778e-01,2.415721e-03,6.764695e-02
2.697980e-01,2.314472e-03,6.481170e-02
2.728182e-01,2.215939e-03,6.205250e-02
2.758384e-01,2.120100e-03,5.936873e-02
2.788586e-01,2.026934e-03,5.675983e-02
2.818788e-01,1.936528e-03,5.422821e-02
2.848990e-01,1.848668e-03,5.176788e-02
2.879192e-01,1.763507e-03,4.938314e-02
2.909394e-01,1.680967e-03,4.707179e-02
2.939596e-01,1.601025e-03,4.483319e-02
2.969798e-01,1.523629e-03,4.266587e-02
3.000000e-01,1.448767e-03,4.056953e-02
3.100000e-01,1.218309e-03,3.411608e-02
3.270707e-01,8.833604e-04,2.473656e-02
3.441414e-01,6.150941e-04,1.722436e-02
3.612121e-01,4.056108e-04,1.135824e-02
3.782828e-01,2.474268e-04,6.928644e-03
3.953535e-01,1.337571e-04,3.745573e-03
4.124242e-01,5.839420e-05,1.635201e-03
4.294949e-01,1.567844e-05,4.390403e-04
4.465657e-01,2.729155e-07,7.642397e-06
4.636364e-01,7.093033e-06,1.986248e-04
4.807071e-01,3.123054e-05,8.745424e-04
4.977778e-01,6.794616e-05,1.902683e-03
5.148485e-01,1.127214e-04,3.156516e-03
5.319192e-01,1.613646e-04,4.518661e-03
5.489899e-01,2.101344e-04,5.884352e-03
5.660606e-01,2.558789e-04,7.165325e-03
5.831313e-01,2.961292e-04,8.292446e-03
6.002020e-01,3.291943e-04,9.218363e-03
6.172727e-01,3.539582e-04,9.911820e-03
6.343434e-01,3.701994e-04,1.036662e-02
6.514141e-01,3.781008e-04,1.058788e-02
6.684848e-01,3.782942e-04,1.059330e-02
6.855556e-01,3.717152e-04,1.040907e-02
7.026263e-01,3.594228e-04,1.006485e-02
7.196970e-01,3.425762e-04,9.593092e-03
7.367677e-01,3.222573e-04,9.024106e-03
7.538384e-01,2.995109e-04,8.387145e-03
7.709091e-01,2.752362e-04,7.707385e-03
7.879798e-01,2.502252e-04,7.007006e-03
8.050505e-01,2.251307e-04,6.304289e-03
8.221212e-01,2.004853e-04,5.614149e-03
8.391919e-01,1.766917e-04,4.947862e-03
8.562626e-01,1.540922e-04,4.315014e-03
8.733333e-01,1.328800e-04,3.721013e-03
8.904040e-01,1.132492e-04,3.171296e-03
9.074747e-01,9.529084e-05,2.668410e-03
9.245455e-01,7.904780e-05,2.213560e-03
9.416162e-01,6.453939e-05,1.807284e-03
9.586869e-01,5.174462e-05,1.448994e-03
9.757576e-01,4.060476e-05,1.137047e-03
9.928283e-01,3.106490e-05,8.699042e-04
1.009899e+00,2.303649e-05,6.450863e-04
1.026970e+00,1.642249e-05,4.598757e-04
1.044040e+00,1.111579e-05,3.112734e-04
1.061111e+00,7.001976e-06,1.960749e-04
1.078182e+00,3.961539e-06,1.109342e-04
1.095253e+00,1.871959e-06,5.242010e-05
1.112323e+00,6.098002e-07,1.707611e-05
1.129394e+00,5.269539e-08,1.475618e-06
1.146465e+00,8.120199e-08,2.273883e-06
1.163535e+00,5.806421e-07,1.625960e-05
1.180606e+00,1.442777e-06,4.040179e-05
1.197677e+00,2.567282e-06,7.189109e-05
1.214747e+00,3.863058e-06,1.081764e-04
1.231818e+00,5.250107e-06,1.470177e-04
1.248889e+00,6.655324e-06,1.863677e-04
