Energy_au,CrossSection_au,CrossSection_Mb
1.000000e-03,3.118873e-02,8.733718e-01
4.020202e-03,3.198027e-02,8.955371e-01
7.040404e-03,3.277528e-02,9.177995e-01
1.006061e-02,3.676265e-02,1.029457e+00
1.308081e-02,3.752918e-02,1.050922e+00
1.610101e-02,3.830927e-02,1.072767e+00
1.912121e-02,3.909648e-02,1.094811e+00
2.214141e-02,3.989383e-02,1.117139e+00
2.516162e-02,4.069790e-02,1.139655e+00
2.818182e-02,4.150751e-02,1.162327e+00
3.120202e-02,4.231986e-02,1.185074e+00
3.422222e-02,4.313500e-02,1.207901e+00
3.724242e-02,4.395109e-02,1.230754e+00
4.026263e-02,4.476488e-02,1.253542e+00
4.328283e-02,4.557702e-02,1.276284e+00
4.630303e-02,4.638428e-02,1.298890e+00
4.932323e-02,4.718537e-02,1.321322e+00
5.234343e-02,4.798121e-02,1.343608e+00
5.536364e-02,4.876597e-02,1.365584e+00
5.838384e-02,4.954386e-02,1.387367e+00
6.140404e-02,5.030701e-02,1.408737e+00
6.442424e-02,5.105936e-02,1.429805e+00
6.744444e-02,5.179973e-02,1.450537e+00
7.046465e-02,5.252600e-02,1.470875e+00
7.348485e-02,5.323343e-02,1.490685e+00
7.650505e-02,5.392735e-02,1.510117e+00
7.952525e-02,5.460454e-02,1.529080e+00
8.254545e-02,5.526367e-02,1.547538e+00
8.556566e-02,5.590594e-02,1.565523e+00
8.858586e-02,5.652945e-02,1.582983e+00
9.160606e-02,5.713500e-02,1.599940e+00
9.462626e-02,5.772210e-02,1.616380e+00
9.764646e-02,5.829090e-02,1.632308e+00
1.006667e-01,5.952040e-02,1.666738e+00
1.036869e-01,6.004917e-02,1.681545e+00
1.067071e-01,6.056159e-02,1.695894e+00
1.097273e-01,6.103765e-02,1.709225e+00
1.127475e-01,6.150992e-02,1.722450e+00
1.157677e-01,6.195424e-02,1.734892e+00
1.187879e-01,6.238881e-02,1.747061e+00
1.218081e-01,6.281259e-02,1.758928e+00
1.248283e-01,6.320222e-02,1.769839e+00
1.278485e-01,6.358940e-02,1.780681e+00
1.308687e-01,6.396216e-02,1.791120e+00
1.338889e-01,6.430539e-02,1.800731e+00
1.369091e-01,6.464916e-02,1.810358e+00
1.399293e-01,6.498075e-02,1.819643e+00
1.429495e-01,6.528218e-02,1.828084e+00
1.459697e-01,6.558535e-02,1.836573e+00
1.489899e-01,6.586812e-02,1.844492e+00
1.520101e-01,6.614047e-02,1.852118e+00
1.550303e-01,6.640068e-02,1.859405e+00
1.580505e-01,6.665527e-02,1.866534e+00
1.610707e-01,6.688848e-02,1.873065e+00
1.640909e-01,6.712326e-02,1.879639e+00
