SIMULATION SUMMARY LOG
Species: Ne
Cage Depth: 0.5600 a.u.
================================================================================
Mu       | E_bound      | NormErr    | Thresh       | Peak        
--------------------------------------------------------------------------------
0.000    | -0.79900     | 1.2e-06    | 3.291e-02    | 6.934e-02   
0.010    | -0.77235     | 1.2e-06    | 3.119e-02    | 7.064e-02   
0.020    | -0.74607     | 1.2e-06    | 2.970e-02    | 7.180e-02   
0.050    | -0.66947     | 1.1e-06    | 2.951e-02    | 7.565e-02   
0.100    | -0.54962     | 9.9e-07    | 8.524e-03    | 8.237e-02   
0.200    | -0.39177     | 4.5e-08    | 1.823e-03    | 1.398e-02   
0.300    | -0.36799     | 1.9e-09    | 4.341e-03    | 4.209e-02   
0.400    | -0.35649     | 4.1e-10    | 3.186e-02    | 3.053e-01   
0.500    | -0.35039     | 1.4e-10    | 7.670e-03    | 9.255e-01   
