wavelength(A),energy(eV),cross_section(Mb)
575,21.58,6.21
570,21.77,6.33
565,21.96,6.46
560,22.16,6.58
555,22.36,6.71
550,22.56,6.82
545,22.77,6.94
540,22.98,7.05
535,23.19,7.16
530,23.41,7.26
525,23.63,7.37
520,23.86,7.47
515,24.09,7.56
510,24.33,7.66
505,24.57,7.75
500,24.82,7.83
495,25.07,7.92
490,25.32,8
485,25.58,8.08
480,25.85,8.15
475,26.12,8.23
470,26.4,8.29
465,26.68,8.36
460,26.97,8.42
455,27.27,8.48
450,27.57,8.54
445,27.88,8.59
440,28.2,8.64
435,28.52,8.68
430,28.86,8.72
425,29.2,8.76
420,29.54,8.8
415,29.9,8.83
410,30.26,8.86
405,30.64,8.88
400,31.02,8.91
395,31.41,8.92
390,31.82,8.94
385,32.23,8.95
380,32.65,8.96
375,33.09,8.96
370,33.54,8.96
365,34,8.96
360,34.47,8.95
355,34.95,8.94
350,35.45,8.93
345,35.97,8.91
340,36.49,8.89
335,37.04,8.86
330,37.6,8.83
325,38.18,8.8
320,38.78,8.77
315,39.39,8.73
310,40.03,8.68
305,40.68,8.63
300,41.36,8.58
295,42.06,8.53
290,42.79,8.47
285,43.54,8.41
280,44.32,8.34
275,45.12,8.27
270,45.96,8.19
265,46.82,8.11
260,47.72,8.03
255,48.66,7.95
250,49.63,7.85
245,50.65,7.76
240,51.7,7.66
235,52.8,7.56
230,53.95,7.45
225,55.15,7.34
220,56.4,7.23
215,57.71,7.11
210,59.09,6.98
205,60.53,6.86
200,62.04,6.72
195,63.63,6.59
190,65.31,6.45
185,67.07,6.3
180,68.93,6.15
175,70.9,6
170,72.99,5.84
165,75.2,5.68
160,77.55,5.52
155,80.05,5.35
150,82.72,5.17
145,85.57,4.99
140,88.63,4.81
135,91.91,4.62
130,95.45,4.43
125,99.27,4.23
120,103.4,4.03
115,107.9,3.76
110,112.8,3.5
105,118.17,3.25
100,124.08,2.98
98,126.61,2.87
96,129.25,2.76
94,132,2.65
92,134.87,2.54
90,137.87,2.44
88,141,2.33
86,144.28,2.23
84,147.72,2.12
82,151.32,2.02
80,155.1,1.92
78,159.08,1.82
76,163.27,1.71
74,167.68,1.61
72,172.34,1.52
70,177.26,1.43
68,182.47,1.35
66,188,1.27
64,193.88,1.17
62,200.13,1.08
60,206.8,0.992
58,213.94,0.909
56,221.58,0.83
54,229.78,0.756
52,238.62,0.686
50,248.16,0.62
48,258.5,0.558
46,269.74,0.5
44,282.01,0.445
42,295.43,0.395
40,310.21,0.348
38,326.53,0.305
36,344.67,0.265
34,364.95,0.229
32,387.76,0.196
30,413.61,0.166
28,443.15,0.139
26,477.24,0.115
24,517.01,0.0932
22,564.01,0.0745
20,620.41,0.0582
19,653.07,0.051
18,689.35,0.0444
17,729.9,0.0383
16,775.51,0.0328
15,827.22,0.0277
14.3,867.71,0.0245
14,886.3,0.367
13,954.48,0.3
12,1034.02,0.241
11,1128.02,0.19
10,1240.82,0.147
9.8,1266.15,0.139
9.6,1292.52,0.131
9.4,1320.03,0.124
9.2,1348.72,0.117
9,1378.69,0.11
8.8,1410.03,0.104
8.6,1442.82,0.0974
8.4,1477.17,0.0913
8.2,1513.2,0.0855
8,1551.03,0.08
7.8,1590.8,0.0746
7.6,1632.66,0.0695
7.4,1676.79,0.0647
7.2,1723.37,0.06
7,1772.61,0.0556
6.8,1824.74,0.0514
6.6,1880.04,0.0474
6.4,1938.79,0.0436
6.2,2001.33,0.04
6,2068.04,0.0366
5.8,2139.35,0.0333
5.6,2215.76,0.0303
5.4,2297.82,0.0274
5.2,2386.2,0.0248
5,2481.65,0.0223
4.8,2585.05,0.0199
4.6,2697.44,0.0177
4.4,2820.05,0.0157
4.2,2954.34,0.0138
4,3102.06,0.0121
3.8,3265.33,0.0105
3.6,3446.73,0.0091
3.4,3649.48,0.00779
3.2,3877.57,0.00661
3,4136.08,0.00554
2.8,4431.51,0.00459
2.6,4772.4,0.00376
2.4,5170.1,0.00302
2.2,5640.11,0.00238
2,6204.12,0.00184
1.8,6893.47,0.00138
1.6,7755.15,0.001
1.4,8863.03,0.000697
1.2,10340.2,0.000458
1,12408.24,0.000279
0.8,15510.3,0.000152
0.6,20680.4,0.000069
0.4,31020.6,0.000023
0.2,62041.2,0.000003
