Lambda (A),Exp (Mb),Sim (Mb),Error (%)
504.0,7.56,8.139,7.65
500.0,7.46,8.139,9.1
495.0,7.33,8.032,9.58
490.0,7.19,7.894,9.79
485.0,7.06,7.756,9.86
480.0,6.94,7.618,9.77
475.0,6.81,7.48,9.84
470.0,6.68,7.342,9.91
465.0,6.55,7.204,9.99
460.0,6.43,7.066,9.89
455.0,6.3,6.928,9.97
450.0,6.18,6.79,9.87
445.0,6.05,6.652,9.95
440.0,5.93,6.514,9.85
435.0,5.81,6.376,9.74
430.0,5.69,6.238,9.63
425.0,5.57,6.1,9.52
420.0,5.45,5.962,9.4
410.0,5.21,5.686,9.14
405.0,5.1,5.548,8.79
400.0,4.98,5.41,8.64
395.0,4.87,5.272,8.26
390.0,4.76,5.134,7.86
385.0,4.64,4.996,7.68
380.0,4.53,4.858,7.25
375.0,4.42,4.72,6.79
370.0,4.31,4.582,6.32
365.0,4.2,4.444,5.81
360.0,4.09,4.324,5.72
355.0,4.0,4.206,5.16
350.0,3.88,4.089,5.37
345.0,3.78,3.971,5.05
340.0,3.68,3.853,4.7
335.0,3.57,3.735,4.63
330.0,3.47,3.617,4.25
325.0,3.37,3.5,3.84
320.0,3.27,3.382,3.42
315.0,3.18,3.264,2.64
310.0,3.08,3.146,2.15
305.0,2.98,3.028,1.62
300.0,2.89,2.911,0.71
295.0,2.8,2.793,-0.26
290.0,2.7,2.675,-0.93
285.0,2.61,2.567,-1.66
280.0,2.52,2.472,-1.91
275.0,2.44,2.377,-2.58
270.0,2.35,2.282,-2.88
265.0,2.26,2.188,-3.21
260.0,2.18,2.093,-4.0
255.0,2.1,1.998,-4.86
250.0,2.02,1.903,-5.79
245.0,1.94,1.808,-6.79
240.0,1.86,1.714,-7.87
235.0,1.78,1.625,-8.69
230.0,1.7,1.549,-8.9
225.0,1.63,1.472,-9.69
220.0,1.55,1.396,-9.97
215.0,1.48,1.319,-10.88
210.0,1.41,1.242,-11.89
205.0,1.34,1.166,-13.0
200.0,1.28,1.093,-14.59
195.0,1.21,1.03,-14.84
190.0,1.14,0.968,-15.12
185.0,1.08,0.905,-16.22
180.0,1.02,0.842,-17.45
175.0,0.961,0.78,-18.84
170.0,0.903,0.728,-19.42
165.0,0.847,0.675,-20.28
160.0,0.792,0.623,-21.35
155.0,0.738,0.571,-22.63
150.0,0.687,0.527,-23.33
145.0,0.637,0.482,-24.26
140.0,0.588,0.438,-25.48
135.0,0.542,0.399,-26.32
130.0,0.497,0.361,-27.27
125.0,0.454,0.325,-28.44
120.0,0.412,0.292,-29.11
115.0,5.33,0.26,-95.13
115.0,0.373,0.26,-30.38
110.0,0.335,0.231,-31.03
105.0,0.299,0.203,-32.0
100.0,0.265,0.178,-32.8
95.0,0.233,0.155,-33.53
90.0,0.202,0.133,-33.97
85.0,0.174,0.114,-34.6
80.0,0.147,0.096,-34.62
75.0,0.123,0.08,-34.76
70.0,0.1,0.066,-33.93
65.0,0.0795,0.053,-32.72
60.0,0.0609,0.043,-30.1
55.0,0.0443,0.033,-25.21
50.0,0.0315,0.025,-20.19
48.0,0.0282,0.022,-20.84
46.0,0.025,0.02,-21.17
44.0,0.022,0.017,-21.43
42.0,0.0193,0.015,-21.86
40.0,0.0168,0.013,-22.32
38.0,0.0145,0.011,-22.69
36.0,0.0124,0.01,-23.04
34.0,0.0105,0.008,-23.4
32.0,0.00885,0.007,-24.21
30.0,0.00736,0.006,-24.98
28.0,0.00604,0.004,-25.81
26.0,0.00489,0.004,-26.84
24.0,0.00389,0.003,-27.97
22.0,0.00303,0.002,-29.18
20.0,0.00231,0.002,-30.75
19.0,0.00199,0.001,-31.4
18.0,0.00171,0.001,-32.48
17.0,0.00145,0.001,-33.33
16.0,0.00122,0.001,-34.38
15.0,0.00101,0.001,-35.2
14.0,0.000832,0.001,-36.61
13.0,0.000673,0.0,-37.87
12.0,0.000535,0.0,-39.23
11.0,0.000417,0.0,-40.7
10.0,0.000318,0.0,-42.42
9.5,0.000274,0.0,-43.15
9.0,0.000235,0.0,-44.12
8.5,0.0002,0.0,-45.17
8.0,0.000168,0.0,-46.08
7.5,0.000139,0.0,-46.83
7.0,0.000115,0.0,-48.28
6.5,9.3e-05,0.0,-49.33
6.0,7.4e-05,0.0,-50.44
5.5,5.7e-05,0.0,-50.97
5.0,4.4e-05,0.0,-52.72
4.5,3.2e-05,0.0,-52.98
4.0,2.3e-05,0.0,-54.1
3.5,1.6e-05,0.0,-54.8
3.0,1e-05,0.0,-49.24
2.5,6e-06,0.0,-28.22
2.0,3e-06,0.0,-86.76
1.5,1e-06,0.0,32.28
