Lambda (A),Exp (Mb),Sim (Mb),Error (%)
575.0,6.21,8.898,43.29
570.0,6.33,8.898,40.58
565.0,6.46,8.882,37.49
560.0,6.58,8.818,34.02
555.0,6.71,8.755,30.48
550.0,6.82,8.692,27.44
545.0,6.94,8.628,24.33
540.0,7.05,8.565,21.49
535.0,7.16,8.502,18.74
530.0,7.26,8.438,16.23
525.0,7.37,8.375,13.63
520.0,7.47,8.312,11.27
515.0,7.56,8.248,9.1
510.0,7.66,8.185,6.85
505.0,7.75,8.122,4.79
500.0,7.83,8.058,2.91
495.0,7.92,7.995,0.95
490.0,8.0,7.932,-0.86
485.0,8.08,7.868,-2.62
480.0,8.15,7.805,-4.24
475.0,8.23,7.741,-5.94
470.0,8.29,7.678,-7.38
465.0,8.36,7.615,-8.91
460.0,8.42,7.551,-10.32
455.0,8.48,7.488,-11.7
450.0,8.54,7.425,-13.06
445.0,8.59,7.361,-14.3
440.0,8.64,7.298,-15.53
435.0,8.68,7.235,-16.65
430.0,8.72,7.171,-17.76
425.0,8.76,7.108,-18.86
420.0,8.8,7.045,-19.95
415.0,8.83,6.981,-20.94
410.0,8.86,6.918,-21.92
405.0,8.88,6.855,-22.81
400.0,8.91,6.791,-23.78
395.0,8.92,6.728,-24.57
390.0,8.94,6.665,-25.45
385.0,8.95,6.601,-26.24
380.0,8.96,6.538,-27.03
375.0,8.96,6.475,-27.74
370.0,8.96,6.411,-28.44
365.0,8.96,6.348,-29.15
360.0,8.95,6.285,-29.78
355.0,8.94,6.221,-30.41
350.0,8.93,6.158,-31.04
345.0,8.91,6.095,-31.6
340.0,8.89,6.031,-32.16
335.0,8.86,5.968,-32.64
330.0,8.83,5.905,-33.13
325.0,8.8,5.841,-33.62
320.0,8.77,5.778,-34.12
315.0,8.73,5.715,-34.54
310.0,8.68,5.651,-34.89
305.0,8.63,5.588,-35.25
300.0,8.58,5.525,-35.61
295.0,8.53,5.461,-35.98
290.0,8.47,5.398,-36.27
285.0,8.41,5.335,-36.57
280.0,8.34,5.271,-36.8
275.0,8.27,5.208,-37.03
270.0,8.19,5.145,-37.18
265.0,8.11,5.081,-37.35
260.0,8.03,5.018,-37.51
255.0,7.95,4.955,-37.68
250.0,7.85,4.891,-37.69
245.0,7.76,4.828,-37.79
240.0,7.66,4.765,-37.8
235.0,7.56,4.701,-37.82
230.0,7.45,4.638,-37.75
225.0,7.34,4.575,-37.68
220.0,7.23,4.511,-37.6
215.0,7.11,4.448,-37.44
210.0,6.98,4.384,-37.19
205.0,6.86,4.321,-37.01
200.0,6.72,4.258,-36.64
195.0,6.59,4.194,-36.35
190.0,6.45,4.131,-35.95
185.0,6.3,4.068,-35.43
180.0,6.15,4.004,-34.89
175.0,6.0,3.941,-34.31
170.0,5.84,3.878,-33.6
165.0,5.68,3.814,-32.84
160.0,5.52,3.751,-32.05
155.0,5.35,3.688,-31.07
150.0,5.17,3.624,-29.9
145.0,4.99,3.561,-28.64
140.0,4.81,3.498,-27.28
135.0,4.62,3.392,-26.57
130.0,4.43,3.19,-27.99
125.0,4.23,2.988,-29.36
120.0,4.03,2.786,-30.87
115.0,3.76,2.584,-31.28
110.0,3.5,2.382,-31.95
105.0,3.25,2.18,-32.94
100.0,2.98,1.977,-33.64
98.0,2.87,1.897,-33.92
96.0,2.76,1.816,-34.21
94.0,2.65,1.735,-34.53
92.0,2.54,1.654,-34.88
90.0,2.44,1.573,-35.52
88.0,2.33,1.492,-35.95
86.0,2.23,1.412,-36.7
84.0,2.12,1.331,-37.23
82.0,2.02,1.25,-38.13
80.0,1.92,1.169,-39.11
78.0,1.82,1.088,-40.21
76.0,1.71,1.029,-39.81
74.0,1.61,0.976,-39.4
72.0,1.52,0.922,-39.34
70.0,1.43,0.868,-39.27
68.0,1.35,0.815,-39.64
66.0,1.27,0.761,-40.06
64.0,1.17,0.708,-39.52
62.0,1.08,0.654,-39.44
60.0,0.992,0.6,-39.47
58.0,0.909,0.547,-39.84
56.0,0.83,0.493,-40.58
54.0,0.756,0.442,-41.59
52.0,0.686,0.406,-40.84
50.0,0.62,0.37,-40.31
48.0,0.558,0.334,-40.09
46.0,0.5,0.299,-40.28
44.0,0.445,0.263,-40.94
42.0,0.395,0.227,-42.51
40.0,0.348,0.2,-42.44
38.0,0.305,0.175,-42.5
36.0,0.265,0.15,-43.24
34.0,0.229,0.125,-45.21
32.0,0.196,0.107,-45.55
30.0,0.166,0.089,-46.64
28.0,0.139,0.071,-48.57
26.0,0.115,0.058,-49.71
24.0,0.0932,0.045,-51.63
22.0,0.0745,0.035,-53.66
20.0,0.0582,0.026,-55.74
19.0,0.051,0.022,-57.2
18.0,0.0444,0.018,-58.42
17.0,0.0383,0.015,-59.9
16.0,0.0328,0.013,-61.58
15.0,0.0277,0.01,-62.97
14.3,0.0245,0.009,-64.22
14.0,0.367,0.008,-97.77
13.0,0.3,0.006,-97.86
12.0,0.241,0.005,-97.96
11.0,0.19,0.004,-98.07
10.0,0.147,0.003,-98.19
9.8,0.139,0.002,-98.22
9.6,0.131,0.002,-98.23
9.4,0.124,0.002,-98.27
9.2,0.117,0.002,-98.29
9.0,0.11,0.002,-98.31
8.8,0.104,0.002,-98.35
8.6,0.0974,0.002,-98.37
8.4,0.0913,0.001,-98.4
8.2,0.0855,0.001,-98.43
8.0,0.08,0.001,-98.46
7.8,0.0746,0.001,-98.48
7.6,0.0695,0.001,-98.51
7.4,0.0647,0.001,-98.55
7.2,0.06,0.001,-98.57
7.0,0.0556,0.001,-98.61
6.8,0.0514,0.001,-98.64
6.6,0.0474,0.001,-98.67
6.4,0.0436,0.001,-98.7
6.2,0.04,0.001,-98.73
6.0,0.0366,0.0,-98.77
5.8,0.0333,0.0,-98.8
5.6,0.0303,0.0,-98.83
5.4,0.0274,0.0,-98.87
5.2,0.0248,0.0,-98.91
5.0,0.0223,0.0,-98.94
4.8,0.0199,0.0,-98.97
4.6,0.0177,0.0,-99.01
4.4,0.0157,0.0,-99.05
4.2,0.0138,0.0,-99.08
4.0,0.0121,0.0,-99.12
3.8,0.0105,0.0,-99.16
3.6,0.0091,0.0,-99.19
3.4,0.00779,0.0,-99.23
3.2,0.00661,0.0,-99.26
3.0,0.00554,0.0,-99.29
2.8,0.00459,0.0,-99.29
2.6,0.00376,0.0,-99.23
2.4,0.00302,0.0,-99.0
2.2,0.00238,0.0,-99.08
2.0,0.00184,0.0,-99.12
1.8,0.00138,0.0,-99.55
1.6,0.001,0.0,-99.21
1.4,0.000697,0.0,-99.37
1.2,0.000458,0.0,-99.47
1.0,0.000279,0.0,-99.47
0.8,0.000152,0.0,-98.42
0.6,6.9e-05,0.015,22326.74
0.4,2.3e-05,0.022,94764.32
0.2,3e-06,0.0,-45.01
