Wavelength (A),Exp (Mb),Sim (Mb),Error (%)
783.0,29.2,71.559,145.1
780.0,29.5,71.559,142.6
770.0,30.3,71.559,136.2
760.0,31.1,69.959,124.9
750.0,31.8,68.224,114.5
740.0,32.5,66.49,104.6
730.0,33.1,64.755,95.6
720.0,33.7,63.02,87.0
710.0,34.2,61.285,79.2
700.0,34.7,59.551,71.6
690.0,35.1,57.816,64.7
680.0,35.5,56.081,58.0
670.0,35.8,54.346,51.8
660.0,36.1,52.612,45.7
650.0,36.3,50.877,40.2
640.0,36.5,49.142,34.6
630.0,36.6,47.407,29.5
620.0,36.7,45.673,24.4
610.0,36.8,43.938,19.4
600.0,36.7,42.203,15.0
590.0,36.7,40.468,10.3
580.0,36.5,38.734,6.1
570.0,36.3,36.999,1.9
560.0,36.1,35.264,-2.3
550.0,35.7,33.53,-6.1
540.0,35.4,31.795,-10.2
530.0,34.9,30.06,-13.9
520.0,34.4,28.325,-17.7
510.0,33.8,26.591,-21.3
500.0,33.1,24.856,-24.9
490.0,32.3,23.121,-28.4
480.0,31.4,21.386,-31.9
470.0,30.5,19.652,-35.6
460.0,29.5,17.917,-39.3
450.0,28.3,16.182,-42.8
440.0,27.1,14.447,-46.7
430.0,25.7,13.178,-48.7
420.0,24.3,12.405,-49.0
410.0,22.7,11.632,-48.8
400.0,21.0,10.859,-48.3
390.0,19.1,10.086,-47.2
380.0,17.1,9.313,-45.5
370.0,15.0,8.54,-43.1
360.0,12.8,7.767,-39.3
350.0,10.3,6.994,-32.1
340.0,7.77,6.221,-19.9
330.0,6.1,5.448,-10.7
320.0,4.62,4.675,1.2
310.0,3.41,3.902,14.4
300.0,2.47,3.267,32.3
290.0,1.77,2.942,66.2
280.0,1.3,2.616,101.3
270.0,1.03,2.291,122.4
260.0,0.914,1.966,115.1
250.0,0.916,1.641,79.1
240.0,1.0,1.316,31.6
230.0,1.13,1.036,-8.4
220.0,1.28,0.884,-31.0
210.0,1.36,0.732,-46.2
200.0,1.42,0.58,-59.2
190.0,1.45,0.428,-70.5
180.0,1.48,0.345,-76.7
170.0,1.48,0.273,-81.6
160.0,1.47,0.201,-86.4
150.0,1.45,0.164,-88.7
140.0,1.41,0.132,-90.6
130.0,1.36,0.117,-91.4
120.0,1.29,0.108,-91.6
110.0,1.2,0.111,-90.7
100.0,1.1,0.119,-89.1
95.0,1.05,0.125,-88.1
90.0,0.987,0.131,-86.7
85.0,0.923,0.138,-85.0
80.0,0.856,0.145,-83.1
75.0,0.785,0.151,-80.8
70.0,0.709,0.156,-77.9
65.0,0.63,0.16,-74.5
60.0,0.547,0.163,-70.3
55.0,0.461,0.163,-64.7
50.6,0.381,0.16,-57.9
50.0,4.66,0.16,-96.6
48.0,4.23,0.158,-96.3
46.0,3.83,0.155,-95.9
44.0,3.45,0.152,-95.6
42.0,3.1,0.148,-95.2
40.0,2.76,0.144,-94.8
38.0,2.45,0.139,-94.3
36.0,2.16,0.133,-93.8
34.0,1.89,0.126,-93.3
32.0,1.64,0.119,-92.7
30.0,1.41,0.111,-92.1
28.0,1.2,0.103,-91.4
26.0,1.01,0.094,-90.7
24.0,0.836,0.084,-89.9
22.0,0.682,0.075,-89.1
20.0,0.546,0.064,-88.2
19.0,0.484,0.059,-87.8
18.0,0.426,0.054,-87.3
17.0,0.373,0.049,-86.9
16.0,0.324,0.044,-86.4
15.0,0.278,0.039,-86.0
14.0,0.237,0.034,-85.6
13.0,0.199,0.03,-85.2
12.0,0.165,0.025,-84.8
11.0,0.135,0.021,-84.5
10.0,0.108,0.017,-84.3
9.5,0.096,0.015,-84.2
9.0,0.084,0.013,-84.2
8.5,0.074,0.012,-84.1
8.0,0.064,0.01,-84.2
7.5,0.055,0.009,-84.3
7.0,0.047,0.007,-84.4
6.5,0.039,0.006,-84.6
6.0,0.033,0.005,-84.9
5.5,0.027,0.004,-85.3
5.0,0.021,0.003,-85.8
4.5,0.017,0.002,-86.3
4.0,0.013,0.002,-87.1
3.87,0.012,0.001,-87.4
3.8,0.096,0.001,-98.5
3.6,0.083,0.001,-98.5
3.4,0.071,0.001,-98.6
3.2,0.06,0.001,-98.6
3.0,0.05,0.001,-98.6
2.8,0.041,0.001,-98.6
2.6,0.034,0.0,-98.7
2.4,0.027,0.0,-98.9
2.2,0.021,0.0,-99.2
2.0,0.016,0.0,-97.2
1.8,0.012,0.0,-99.1
1.6,0.009,0.0,-99.1
1.4,0.006,0.0,-99.0
1.2,0.004,0.0,-98.9
1.0,0.002,0.0,-98.6
0.8,0.001,0.0,-97.4
0.6,0.001,0.0,-94.2
0.4,0.0,0.0,-82.4
0.2,0.0,0.0,19.1
