Wavelength (A),Exp (Mb),Sim (Mb),Error (%)
911.0,6.298,5.978,-5.1
894.4489795918367,5.961,5.978,0.3
877.8979591836735,5.637,5.703,1.2
861.3469387755102,5.324,5.42,1.8
844.795918367347,5.023,5.145,2.4
828.2448979591836,4.733,4.878,3.1
811.6938775510205,4.455,4.619,3.7
795.1428571428571,4.188,4.369,4.3
778.5918367346939,3.932,4.128,5.0
762.0408163265306,3.687,3.894,5.6
745.4897959183673,3.451,3.669,6.3
728.9387755102041,3.227,3.452,7.0
712.3877551020408,3.012,3.242,7.6
695.8367346938776,2.807,3.04,8.3
679.2857142857143,2.611,2.845,9.0
662.7346938775511,2.425,2.659,9.6
646.1836734693877,2.248,2.48,10.3
629.6326530612246,2.079,2.308,11.0
613.0816326530612,1.92,2.144,11.7
596.530612244898,1.768,1.987,12.4
579.9795918367347,1.625,1.837,13.1
563.4285714285714,1.49,1.695,13.7
546.8775510204082,1.363,1.559,14.4
530.3265306122449,1.243,1.43,15.1
513.7755102040817,1.13,1.308,15.8
497.2244897959184,1.024,1.193,16.5
480.6734693877551,0.925,1.084,17.1
464.12244897959187,0.833,0.981,17.8
447.5714285714286,0.747,0.885,18.4
431.02040816326536,0.667,0.794,19.1
414.46938775510205,0.593,0.71,19.7
397.9183673469388,0.525,0.632,20.3
381.36734693877554,0.462,0.559,21.0
364.8163265306123,0.404,0.492,21.5
348.26530612244903,0.352,0.43,22.1
331.7142857142858,0.304,0.373,22.6
315.1632653061225,0.261,0.321,23.1
298.6122448979593,0.222,0.274,23.6
282.0612244897959,0.187,0.232,24.0
265.51020408163265,0.156,0.194,24.3
248.9591836734694,0.129,0.16,24.6
232.40816326530614,0.105,0.13,24.8
215.8571428571429,0.084,0.105,24.8
199.30612244897964,0.066,0.082,24.8
182.75510204081638,0.051,0.063,24.6
166.20408163265313,0.038,0.047,24.2
149.65306122448987,0.028,0.034,23.5
133.10204081632662,0.02,0.024,22.5
116.55102040816337,0.013,0.016,21.1
100.0,0.008,0.01,19.1
