Wavelength (A),Exp (Mb),Sim (Mb),Error (%)
504.0,7.56,8.139,7.7
500.0,7.46,8.139,9.1
495.0,7.33,8.033,9.6
490.0,7.19,7.896,9.8
485.0,7.06,7.758,9.9
480.0,6.94,7.621,9.8
475.0,6.81,7.484,9.9
470.0,6.68,7.347,10.0
465.0,6.55,7.21,10.1
460.0,6.43,7.073,10.0
455.0,6.3,6.936,10.1
450.0,6.18,6.798,10.0
445.0,6.05,6.661,10.1
440.0,5.93,6.524,10.0
435.0,5.81,6.387,9.9
430.0,5.69,6.25,9.8
425.0,5.57,6.113,9.7
420.0,5.45,5.976,9.6
410.0,5.21,5.701,9.4
405.0,5.1,5.564,9.1
400.0,4.98,5.427,9.0
395.0,4.87,5.29,8.6
390.0,4.76,5.153,8.2
385.0,4.64,5.016,8.1
380.0,4.53,4.878,7.7
375.0,4.42,4.741,7.3
370.0,4.31,4.604,6.8
365.0,4.2,4.467,6.4
360.0,4.09,4.33,5.9
355.0,4.0,4.193,4.8
350.0,3.88,4.067,4.8
345.0,3.78,3.954,4.6
340.0,3.68,3.84,4.4
335.0,3.57,3.727,4.4
330.0,3.47,3.614,4.1
325.0,3.37,3.5,3.9
320.0,3.27,3.387,3.6
315.0,3.18,3.273,2.9
310.0,3.08,3.16,2.6
305.0,2.98,3.046,2.2
300.0,2.89,2.933,1.5
295.0,2.8,2.819,0.7
290.0,2.7,2.706,0.2
285.0,2.61,2.592,-0.7
280.0,2.52,2.479,-1.6
275.0,2.44,2.365,-3.1
270.0,2.35,2.264,-3.6
265.0,2.26,2.176,-3.7
260.0,2.18,2.087,-4.3
255.0,2.1,1.998,-4.8
250.0,2.02,1.909,-5.5
245.0,1.94,1.821,-6.2
240.0,1.86,1.732,-6.9
235.0,1.78,1.643,-7.7
230.0,1.7,1.554,-8.6
225.0,1.63,1.466,-10.1
220.0,1.55,1.385,-10.6
215.0,1.48,1.315,-11.2
210.0,1.41,1.245,-11.7
205.0,1.34,1.174,-12.4
200.0,1.28,1.104,-13.7
195.0,1.21,1.034,-14.6
190.0,1.14,0.964,-15.5
185.0,1.08,0.9,-16.6
180.0,1.02,0.844,-17.3
175.0,0.961,0.787,-18.1
170.0,0.903,0.73,-19.1
165.0,0.847,0.674,-20.5
160.0,0.792,0.621,-21.6
155.0,0.738,0.575,-22.1
150.0,0.687,0.528,-23.1
145.0,0.637,0.481,-24.4
140.0,0.588,0.439,-25.3
135.0,0.542,0.4,-26.2
130.0,0.497,0.361,-27.3
125.0,0.454,0.325,-28.3
120.0,0.412,0.292,-29.0
115.0,5.33,0.26,-95.1
115.0,0.373,0.26,-30.4
110.0,0.335,0.231,-31.0
105.0,0.299,0.203,-32.1
100.0,0.265,0.178,-32.7
95.0,0.233,0.155,-33.5
90.0,0.202,0.133,-34.1
85.0,0.174,0.114,-34.5
80.0,0.147,0.096,-34.5
75.0,0.123,0.08,-34.7
70.0,0.1,0.066,-33.9
65.0,0.08,0.053,-32.7
60.0,0.061,0.043,-30.1
55.0,0.044,0.033,-25.1
50.0,0.032,0.025,-20.2
48.0,0.028,0.022,-20.8
46.0,0.025,0.02,-21.2
44.0,0.022,0.017,-21.4
42.0,0.019,0.015,-21.9
40.0,0.017,0.013,-22.3
38.0,0.014,0.011,-22.7
36.0,0.012,0.01,-23.1
34.0,0.01,0.008,-23.4
32.0,0.009,0.007,-24.2
30.0,0.007,0.006,-25.0
28.0,0.006,0.004,-25.8
26.0,0.005,0.004,-26.8
24.0,0.004,0.003,-28.0
22.0,0.003,0.002,-29.2
20.0,0.002,0.002,-30.7
19.0,0.002,0.001,-31.4
18.0,0.002,0.001,-32.5
17.0,0.001,0.001,-33.3
16.0,0.001,0.001,-34.4
15.0,0.001,0.001,-35.2
14.0,0.001,0.001,-36.6
13.0,0.001,0.0,-37.9
12.0,0.001,0.0,-39.2
11.0,0.0,0.0,-40.7
10.0,0.0,0.0,-42.4
9.5,0.0,0.0,-43.2
9.0,0.0,0.0,-44.1
8.5,0.0,0.0,-45.2
8.0,0.0,0.0,-46.1
7.5,0.0,0.0,-46.8
7.0,0.0,0.0,-48.3
6.5,0.0,0.0,-49.3
6.0,0.0,0.0,-50.4
5.5,0.0,0.0,-51.0
5.0,0.0,0.0,-52.7
4.5,0.0,0.0,-53.0
4.0,0.0,0.0,-54.1
3.5,0.0,0.0,-54.7
3.0,0.0,0.0,-49.3
2.5,0.0,0.0,-28.2
2.0,0.0,0.0,-86.8
1.5,0.0,0.0,32.2
