Wavelength (A),Exp (Mb),Sim (Mb),Error (%)
575.0,6.21,0.9,-85.5
570.0,6.33,0.894,-85.9
565.0,6.46,0.887,-86.3
560.0,6.58,0.881,-86.6
555.0,6.71,0.875,-87.0
550.0,6.82,0.868,-87.3
545.0,6.94,0.862,-87.6
540.0,7.05,0.855,-87.9
535.0,7.16,0.849,-88.1
530.0,7.26,0.842,-88.4
525.0,7.37,0.836,-88.7
520.0,7.47,0.83,-88.9
515.0,7.56,0.823,-89.1
510.0,7.66,0.817,-89.3
505.0,7.75,0.81,-89.5
500.0,7.83,0.804,-89.7
495.0,7.92,0.797,-89.9
490.0,8.0,0.791,-90.1
485.0,8.08,0.785,-90.3
480.0,8.15,0.778,-90.5
475.0,8.23,0.772,-90.6
470.0,8.29,0.765,-90.8
465.0,8.36,0.759,-90.9
460.0,8.42,0.752,-91.1
455.0,8.48,0.746,-91.2
450.0,8.54,0.74,-91.3
445.0,8.59,0.733,-91.5
440.0,8.64,0.727,-91.6
435.0,8.68,0.718,-91.7
430.0,8.72,0.708,-91.9
425.0,8.76,0.698,-92.0
420.0,8.8,0.688,-92.2
415.0,8.83,0.678,-92.3
410.0,8.86,0.668,-92.5
405.0,8.88,0.659,-92.6
400.0,8.91,0.649,-92.7
395.0,8.92,0.639,-92.8
390.0,8.94,0.629,-93.0
385.0,8.95,0.619,-93.1
380.0,8.96,0.609,-93.2
375.0,8.96,0.599,-93.3
370.0,8.96,0.589,-93.4
365.0,8.96,0.579,-93.5
360.0,8.95,0.57,-93.6
355.0,8.94,0.56,-93.7
350.0,8.93,0.55,-93.8
345.0,8.91,0.54,-93.9
340.0,8.89,0.53,-94.0
335.0,8.86,0.52,-94.1
330.0,8.83,0.51,-94.2
325.0,8.8,0.5,-94.3
320.0,8.77,0.49,-94.4
315.0,8.73,0.481,-94.5
310.0,8.68,0.471,-94.6
305.0,8.63,0.461,-94.7
300.0,8.58,0.45,-94.8
295.0,8.53,0.44,-94.8
290.0,8.47,0.429,-94.9
285.0,8.41,0.419,-95.0
280.0,8.34,0.408,-95.1
275.0,8.27,0.398,-95.2
270.0,8.19,0.387,-95.3
265.0,8.11,0.377,-95.4
260.0,8.03,0.366,-95.4
255.0,7.95,0.356,-95.5
250.0,7.85,0.345,-95.6
245.0,7.76,0.335,-95.7
240.0,7.66,0.324,-95.8
235.0,7.56,0.314,-95.8
230.0,7.45,0.304,-95.9
225.0,7.34,0.293,-96.0
220.0,7.23,0.283,-96.1
215.0,7.11,0.273,-96.2
210.0,6.98,0.263,-96.2
205.0,6.86,0.252,-96.3
200.0,6.72,0.242,-96.4
195.0,6.59,0.232,-96.5
190.0,6.45,0.222,-96.6
185.0,6.3,0.212,-96.6
180.0,6.15,0.202,-96.7
175.0,6.0,0.193,-96.8
170.0,5.84,0.183,-96.9
165.0,5.68,0.173,-96.9
160.0,5.52,0.164,-97.0
155.0,5.35,0.155,-97.1
150.0,5.17,0.146,-97.2
145.0,4.99,0.137,-97.3
140.0,4.81,0.128,-97.3
135.0,4.62,0.119,-97.4
130.0,4.43,0.111,-97.5
125.0,4.23,0.102,-97.6
120.0,4.03,0.094,-97.7
115.0,3.76,0.087,-97.7
110.0,3.5,0.079,-97.7
105.0,3.25,0.072,-97.8
100.0,2.98,0.065,-97.8
98.0,2.87,0.062,-97.8
96.0,2.76,0.059,-97.9
