Energy (eV),Wavelength (A),Cross Section (Mb)
16.118,769.23,71.5595
28.513,434.84,13.5518
40.907,303.08,3.367
53.302,232.61,1.0752
65.697,188.72,0.4084
78.091,158.77,0.1916
90.486,137.02,0.1231
102.881,120.51,0.1079
115.275,107.55,0.112
127.67,97.11,0.1223
140.065,88.52,0.1333
152.459,81.32,0.143
164.854,75.21,0.1507
177.249,69.95,0.1564
189.644,65.38,0.1602
202.038,61.37,0.1623
214.433,57.82,0.163
226.828,54.66,0.1626
239.222,51.83,0.1613
251.617,49.27,0.1593
264.012,46.96,0.1566
276.406,44.86,0.1535
288.801,42.93,0.1501
301.196,41.16,0.1465
313.59,39.54,0.1427
325.985,38.03,0.1388
338.38,36.64,0.1348
350.774,35.35,0.1309
363.169,34.14,0.1269
375.564,33.01,0.123
387.958,31.96,0.1191
400.353,30.97,0.1153
412.748,30.04,0.1116
425.142,29.16,0.108
437.537,28.34,0.1045
449.932,27.56,0.1011
462.326,26.82,0.0977
474.721,26.12,0.0945
487.116,25.45,0.0914
499.51,24.82,0.0884
511.905,24.22,0.0855
524.3,23.65,0.0828
536.694,23.1,0.0801
549.089,22.58,0.0775
561.484,22.08,0.075
573.878,21.6,0.0726
586.273,21.15,0.0703
598.668,20.71,0.068
611.063,20.29,0.0659
623.457,19.89,0.0638
635.852,19.5,0.0618
648.247,19.13,0.0599
660.641,18.77,0.0581
673.036,18.42,0.0563
685.431,18.09,0.0546
697.825,17.77,0.053
710.22,17.46,0.0514
722.615,17.16,0.0498
735.009,16.87,0.0484
747.404,16.59,0.047
759.799,16.32,0.0456
772.193,16.06,0.0443
784.588,15.8,0.043
796.983,15.56,0.0418
809.377,15.32,0.0406
821.772,15.09,0.0395
834.167,14.86,0.0384
846.561,14.65,0.0373
858.956,14.43,0.0362
871.351,14.23,0.0353
883.745,14.03,0.0343
896.14,13.84,0.0334
908.535,13.65,0.0325
920.929,13.46,0.0317
933.324,13.28,0.0308
945.719,13.11,0.03
958.113,12.94,0.0293
970.508,12.78,0.0285
982.903,12.61,0.0278
995.297,12.46,0.0271
1007.692,12.3,0.0264
1020.087,12.15,0.0258
1032.482,12.01,0.0251
1044.876,11.87,0.0245
1057.271,11.73,0.0239
1069.666,11.59,0.0233
1082.06,11.46,0.0228
1094.455,11.33,0.0222
1106.85,11.2,0.0217
1119.244,11.08,0.0212
1131.639,10.96,0.0207
1144.034,10.84,0.0202
1156.428,10.72,0.0197
1168.823,10.61,0.0193
1181.218,10.5,0.0188
