Energy (eV),Wavelength (A),Cross Section (Mb)
13.877,893.48,5.978
14.018,884.48,5.8183
14.159,875.66,5.6642
14.3,867.01,5.5155
14.441,858.53,5.372
14.583,850.21,5.2335
14.724,842.06,5.0997
14.865,834.05,4.9704
15.006,826.2,4.8454
15.148,818.5,4.7246
15.289,810.94,4.6078
15.43,803.52,4.4948
15.571,796.23,4.3854
15.713,789.07,4.2796
15.854,782.04,4.1771
15.995,775.13,4.0779
16.136,768.35,3.9818
16.278,761.68,3.8887
16.419,755.13,3.7996
16.56,748.69,3.7121
16.701,742.36,3.6273
16.843,736.13,3.5451
16.984,730.01,3.4653
17.125,723.99,3.3879
17.266,718.07,3.3127
17.408,712.24,3.2398
17.549,706.51,3.169
17.69,700.87,3.1002
17.831,695.31,3.0334
17.973,689.85,2.9685
18.114,684.47,2.9054
18.255,679.17,2.8441
18.396,673.96,2.7845
18.538,668.83,2.7266
18.679,663.77,2.6702
18.82,658.79,2.6154
18.961,653.88,2.5621
19.103,649.04,2.5102
19.244,644.28,2.4597
19.385,639.59,2.4105
19.526,634.96,2.3626
19.668,630.4,2.316
19.809,625.9,2.2706
19.95,621.47,2.2263
20.091,617.1,2.1832
20.233,612.8,2.1412
20.374,608.55,2.1003
20.515,604.36,2.0604
20.656,600.23,2.0215
20.797,596.15,1.9836
20.939,592.13,1.9466
21.08,588.16,1.9105
21.221,584.25,1.8753
21.362,580.38,1.8409
21.504,576.57,1.8074
21.645,572.81,1.7747
21.786,569.09,1.7427
21.927,565.43,1.7116
22.069,561.81,1.6811
22.21,558.24,1.6514
22.351,554.71,1.6223
22.492,551.23,1.594
22.634,547.79,1.5663
22.775,544.39,1.5392
22.916,541.03,1.5127
23.057,537.72,1.4869
23.199,534.44,1.4616
23.34,531.21,1.4369
23.481,528.02,1.4127
23.622,524.86,1.3891
23.764,521.74,1.366
23.905,518.66,1.3434
24.046,515.61,1.3213
24.187,512.6,1.2996
24.329,509.62,1.2785
24.47,506.68,1.2578
24.611,503.77,1.2375
24.752,500.9,1.2177
24.894,498.06,1.1982
25.035,495.25,1.1792
25.176,492.47,1.1606
25.317,489.72,1.1424
25.459,487.0,1.1245
25.6,484.32,1.1071
25.741,481.66,1.0899
25.882,479.03,1.0732
26.024,476.43,1.0567
26.165,473.86,1.0406
26.306,471.31,1.0248
26.447,468.8,1.0094
26.589,466.31,0.9942
26.73,463.84,0.9794
26.871,461.4,0.9648
27.012,458.99,0.9505
27.154,456.6,0.9365
27.295,454.24,0.9228
27.436,451.9,0.9093
27.577,449.59,0.8961
27.718,447.3,0.8831
27.86,445.03,0.8704
28.001,442.78,0.858
28.142,440.56,0.8457
28.283,438.36,0.8337
28.425,436.18,0.8219
28.566,434.03,0.8104
28.707,431.89,0.799
28.848,429.78,0.7879
28.99,427.68,0.777
29.131,425.61,0.7662
29.272,423.56,0.7557
29.413,421.52,0.7453
29.555,419.51,0.7352
29.696,417.51,0.7252
29.837,415.54,0.7154
29.978,413.58,0.7058
30.12,411.64,0.6963
30.261,409.72,0.687
30.402,407.81,0.6779
30.543,405.93,0.6689
30.685,404.06,0.6601
30.826,402.21,0.6515
30.967,400.37,0.643
31.108,398.56,0.6346
31.25,396.75,0.6264
31.391,394.97,0.6183
31.532,393.2,0.6104
31.673,391.45,0.6026
31.815,389.71,0.5949
31.956,387.99,0.5873
32.097,386.28,0.5799
32.238,384.59,0.5726
32.38,382.91,0.5654
32.521,381.25,0.5584
32.662,379.6,0.5514
32.803,377.96,0.5446
32.945,376.34,0.5379
33.086,374.73,0.5313
