Energy (eV),Wavelength (A),Cross Section (Mb)
25.128,493.42,7.9871
31.232,396.98,5.2921
37.336,332.08,3.6215
43.44,285.42,2.5718
49.544,250.25,1.8879
55.648,222.8,1.4255
61.752,200.78,1.1025
67.856,182.72,0.8701
73.96,167.64,0.6987
80.064,154.86,0.5695
86.168,143.89,0.4704
92.273,134.37,0.3929
98.377,126.03,0.3316
104.481,118.67,0.2824
110.585,112.12,0.2424
116.689,106.25,0.2097
122.793,100.97,0.1825
128.897,96.19,0.1599
135.001,91.84,0.1408
141.105,87.87,0.1246
147.209,84.22,0.1108
153.313,80.87,0.099
159.417,77.77,0.0887
165.522,74.91,0.0799
171.626,72.24,0.0721
177.73,69.76,0.0653
183.834,67.44,0.0594
189.938,65.28,0.0541
196.042,63.24,0.0495
202.146,61.33,0.0453
208.25,59.54,0.0416
214.354,57.84,0.0383
220.458,56.24,0.0353
226.562,54.72,0.0326
232.666,53.29,0.0302
238.771,51.93,0.028
244.875,50.63,0.0261
250.979,49.4,0.0243
257.083,48.23,0.0226
263.187,47.11,0.0211
269.291,46.04,0.0197
275.395,45.02,0.0185
281.499,44.04,0.0173
287.603,43.11,0.0163
293.707,42.21,0.0153
299.811,41.35,0.0144
305.915,40.53,0.0136
312.019,39.74,0.0128
318.124,38.97,0.0121
324.228,38.24,0.0114
330.332,37.53,0.0108
336.436,36.85,0.0102
342.54,36.2,0.0097
348.644,35.56,0.0092
354.748,34.95,0.0087
360.852,34.36,0.0083
366.956,33.79,0.0079
373.06,33.23,0.0075
379.164,32.7,0.0072
385.268,32.18,0.0068
391.373,31.68,0.0065
397.477,31.19,0.0062
403.581,30.72,0.0059
409.685,30.26,0.0057
415.789,29.82,0.0054
421.893,29.39,0.0052
427.997,28.97,0.005
434.101,28.56,0.0048
440.205,28.17,0.0046
446.309,27.78,0.0044
452.413,27.41,0.0042
458.517,27.04,0.004
464.622,26.68,0.0039
470.726,26.34,0.0037
476.83,26.0,0.0036
482.934,25.67,0.0034
489.038,25.35,0.0033
495.142,25.04,0.0032
501.246,24.74,0.0031
507.35,24.44,0.003
513.454,24.15,0.0029
519.558,23.86,0.0028
525.662,23.59,0.0027
531.766,23.32,0.0026
537.871,23.05,0.0025
543.975,22.79,0.0024
550.079,22.54,0.0023
556.183,22.29,0.0022
562.287,22.05,0.0022
568.391,21.81,0.0021
574.495,21.58,0.002
580.599,21.35,0.002
586.703,21.13,0.0019
592.807,20.91,0.0018
598.911,20.7,0.0018
605.015,20.49,0.0017
611.12,20.29,0.0017
617.224,20.09,0.0016
623.328,19.89,0.0016
629.432,19.7,0.0015
635.536,19.51,0.0015
641.64,19.32,0.0014
647.744,19.14,0.0014
653.848,18.96,0.0014
659.952,18.79,0.0013
666.056,18.61,0.0013
672.16,18.45,0.0012
678.264,18.28,0.0012
684.369,18.12,0.0012
690.473,17.96,0.0011
696.577,17.8,0.0011
702.681,17.64,0.0011
708.785,17.49,0.0011
714.889,17.34,0.001
720.993,17.2,0.001
727.097,17.05,0.001
733.201,16.91,0.001
739.305,16.77,0.0009
745.409,16.63,0.0009
751.513,16.5,0.0009
757.618,16.36,0.0009
763.722,16.23,0.0008
769.826,16.11,0.0008
775.93,15.98,0.0008
782.034,15.85,0.0008
788.138,15.73,0.0008
794.242,15.61,0.0007
800.346,15.49,0.0007
806.45,15.37,0.0007
812.554,15.26,0.0007
818.658,15.14,0.0007
824.762,15.03,0.0007
830.866,14.92,0.0006
836.971,14.81,0.0006
843.075,14.71,0.0006
849.179,14.6,0.0006
855.283,14.5,0.0006
861.387,14.39,0.0006
867.491,14.29,0.0006
873.595,14.19,0.0006
879.699,14.09,0.0005
885.803,14.0,0.0005
891.907,13.9,0.0005
898.011,13.81,0.0005
904.115,13.71,0.0005
910.22,13.62,0.0005
916.324,13.53,0.0005
922.428,13.44,0.0005
928.532,13.35,0.0005
934.636,13.27,0.0004
940.74,13.18,0.0004
946.844,13.09,0.0004
952.948,13.01,0.0004
959.052,12.93,0.0004
965.156,12.85,0.0004
971.26,12.77,0.0004
977.364,12.69,0.0004
983.469,12.61,0.0004
989.573,12.53,0.0004
995.677,12.45,0.0004
1001.781,12.38,0.0004
1007.885,12.3,0.0004
1013.989,12.23,0.0003
1020.093,12.15,0.0003
1026.197,12.08,0.0003
1032.301,12.01,0.0003
1038.405,11.94,0.0003
1044.509,11.87,0.0003
1050.613,11.8,0.0003
1056.718,11.73,0.0003
1062.822,11.67,0.0003
1068.926,11.6,0.0003
1075.03,11.53,0.0003
1081.134,11.47,0.0003
1087.238,11.4,0.0003
1093.342,11.34,0.0003
1099.446,11.28,0.0003
1105.55,11.21,0.0003
1111.654,11.15,0.0003
1117.758,11.09,0.0003
1123.862,11.03,0.0002
1129.967,10.97,0.0002
1136.071,10.91,0.0002
1142.175,10.86,0.0002
1148.279,10.8,0.0002
1154.383,10.74,0.0002
1160.487,10.68,0.0002
1166.591,10.63,0.0002
1172.695,10.57,0.0002
1178.799,10.52,0.0002
1184.903,10.46,0.0002
1191.007,10.41,0.0002
1197.111,10.36,0.0002
1203.216,10.3,0.0002
1209.32,10.25,0.0002
1215.424,10.2,0.0002
1221.528,10.15,0.0002
1227.632,10.1,0.0002
1233.736,10.05,0.0002
1239.84,10.0,0.0002
