Energy (eV),Wavelength (A),Cross Section (Mb)
3.739,3316.06,19.2058
9.95,1246.01,1.2726
16.162,767.13,1.1554
22.374,554.15,0.9167
28.585,433.74,0.7163
34.797,356.31,0.5665
41.008,302.34,0.4554
47.22,262.57,0.3717
53.431,232.04,0.3077
59.643,207.88,0.2578
65.855,188.27,0.2183
72.066,172.04,0.1865
78.278,158.39,0.1607
84.489,146.75,0.1394
90.701,136.7,0.1218
96.912,127.93,0.107
103.124,120.23,0.0945
109.335,113.4,0.0839
115.547,107.3,0.0748
121.759,101.83,0.0669
127.97,96.89,0.0602
134.182,92.4,0.0542
140.393,88.31,0.0491
146.605,84.57,0.0445
152.816,81.13,0.0405
159.028,77.96,0.037
165.24,75.03,0.0338
171.451,72.31,0.031
177.663,69.79,0.0285
183.874,67.43,0.0263
190.086,65.23,0.0242
196.297,63.16,0.0224
202.509,61.22,0.0208
208.72,59.4,0.0193
214.932,57.69,0.0179
221.144,56.06,0.0167
227.355,54.53,0.0155
233.567,53.08,0.0145
239.778,51.71,0.0136
245.99,50.4,0.0127
252.201,49.16,0.0119
258.413,47.98,0.0112
264.625,46.85,0.0105
270.836,45.78,0.0099
277.048,44.75,0.0093
283.259,43.77,0.0087
289.471,42.83,0.0083
295.682,41.93,0.0078
301.894,41.07,0.0074
308.105,40.24,0.007
314.317,39.45,0.0066
320.529,38.68,0.0063
326.74,37.95,0.0059
332.952,37.24,0.0056
339.163,36.56,0.0054
345.375,35.9,0.0051
351.586,35.26,0.0048
357.798,34.65,0.0046
364.01,34.06,0.0044
370.221,33.49,0.0042
376.433,32.94,0.004
382.644,32.4,0.0038
388.856,31.88,0.0036
395.067,31.38,0.0035
401.279,30.9,0.0033
407.491,30.43,0.0032
413.702,29.97,0.003
419.914,29.53,0.0029
426.125,29.1,0.0028
432.337,28.68,0.0027
438.548,28.27,0.0026
444.76,27.88,0.0025
450.971,27.49,0.0024
457.183,27.12,0.0023
463.395,26.76,0.0022
469.606,26.4,0.0021
475.818,26.06,0.002
482.029,25.72,0.0019
488.241,25.39,0.0019
494.452,25.08,0.0018
500.664,24.76,0.0017
506.876,24.46,0.0017
513.087,24.16,0.0016
519.299,23.88,0.0016
525.51,23.59,0.0015
531.722,23.32,0.0014
537.933,23.05,0.0014
544.145,22.79,0.0014
550.356,22.53,0.0013
556.568,22.28,0.0013
562.78,22.03,0.0012
568.991,21.79,0.0012
575.203,21.55,0.0011
581.414,21.32,0.0011
587.626,21.1,0.0011
593.837,20.88,0.001
600.049,20.66,0.001
606.261,20.45,0.001
612.472,20.24,0.0009
618.684,20.04,0.0009
624.895,19.84,0.0009
631.107,19.65,0.0009
637.318,19.45,0.0008
643.53,19.27,0.0008
649.741,19.08,0.0008
655.953,18.9,0.0008
662.165,18.72,0.0007
668.376,18.55,0.0007
674.588,18.38,0.0007
680.799,18.21,0.0007
687.011,18.05,0.0007
693.222,17.89,0.0006
699.434,17.73,0.0006
705.646,17.57,0.0006
711.857,17.42,0.0006
718.069,17.27,0.0006
724.28,17.12,0.0006
730.492,16.97,0.0005
736.703,16.83,0.0005
742.915,16.69,0.0005
749.126,16.55,0.0005
755.338,16.41,0.0005
761.55,16.28,0.0005
767.761,16.15,0.0005
773.973,16.02,0.0005
780.184,15.89,0.0004
786.396,15.77,0.0004
792.607,15.64,0.0004
798.819,15.52,0.0004
805.031,15.4,0.0004
811.242,15.28,0.0004
817.454,15.17,0.0004
823.665,15.05,0.0004
829.877,14.94,0.0004
836.088,14.83,0.0004
842.3,14.72,0.0003
848.512,14.61,0.0003
854.723,14.51,0.0003
860.935,14.4,0.0003
867.146,14.3,0.0003
873.358,14.2,0.0003
879.569,14.1,0.0003
885.781,14.0,0.0003
891.992,13.9,0.0003
898.204,13.8,0.0003
904.416,13.71,0.0003
910.627,13.62,0.0003
916.839,13.52,0.0003
923.05,13.43,0.0003
929.262,13.34,0.0002
935.473,13.25,0.0002
941.685,13.17,0.0002
947.897,13.08,0.0002
954.108,12.99,0.0002
960.32,12.91,0.0002
966.531,12.83,0.0002
972.743,12.75,0.0002
978.954,12.66,0.0002
985.166,12.59,0.0002
991.377,12.51,0.0002
997.589,12.43,0.0002
1003.801,12.35,0.0002
1010.012,12.28,0.0002
1016.224,12.2,0.0002
1022.435,12.13,0.0002
1028.647,12.05,0.0002
1034.858,11.98,0.0002
1041.07,11.91,0.0002
1047.282,11.84,0.0002
1053.493,11.77,0.0002
1059.705,11.7,0.0002
1065.916,11.63,0.0002
1072.128,11.56,0.0002
1078.339,11.5,0.0002
1084.551,11.43,0.0001
1090.762,11.37,0.0001
1096.974,11.3,0.0001
1103.186,11.24,0.0001
1109.397,11.18,0.0001
1115.609,11.11,0.0001
1121.82,11.05,0.0001
1128.032,10.99,0.0001
1134.243,10.93,0.0001
1140.455,10.87,0.0001
1146.667,10.81,0.0001
1152.878,10.75,0.0001
1159.09,10.7,0.0001
1165.301,10.64,0.0001
1171.513,10.58,0.0001
1177.724,10.53,0.0001
1183.936,10.47,0.0001
1190.147,10.42,0.0001
1196.359,10.36,0.0001
1202.571,10.31,0.0001
1208.782,10.26,0.0001
1214.994,10.2,0.0001
1221.205,10.15,0.0001
1227.417,10.1,0.0001
1233.628,10.05,0.0001
1239.84,10.0,0.0001
